INTERVAL_DATETIME,DUID,Region,Generation Type,MARGINAL_VOLUME,band_num,PRICE
2025-04-01 04:05:00,ALDGASF1,QLD1,Solar,387.0,2,-194.22
2025-04-01 04:05:00,AVLSF1,NSW1,Solar,190.0,1,-844.6
2025-04-01 04:05:00,BANN1,VIC1,Solar,88.0,1,-839.34
2025-04-01 04:05:00,BARKIPS1,SA1,OCGT,100.0,7,561.04
2025-04-01 04:05:00,BARKIPS1,SA1,OCGT,110.0,10,17501.75
2025-04-01 04:05:00,BBTHREE3,TAS1,OCGT,49.0,10,17459.75
2025-04-01 04:05:00,BDL02,VIC1,OCGT,48.0,10,17445.98
2025-04-01 04:05:00,BLUEGSF1,QLD1,Solar,148.0,2,-41.26
2025-04-01 04:05:00,BOWWPV1,SA1,Solar,1.0,3,-74.85
2025-04-01 04:05:00,BOWWPV1,SA1,Solar,2.0,6,-27.26
2025-04-01 04:05:00,BW03,NSW1,Black Coal,200.0,1,-966.3
2025-04-01 04:05:00,BW03,NSW1,Black Coal,40.0,5,81.99
2025-04-01 04:05:00,BW03,NSW1,Black Coal,75.0,10,16910.25
2025-04-01 04:05:00,CALL_B_1,QLD1,Black Coal,280.0,1,-918.8
2025-04-01 04:05:00,CALL_B_1,QLD1,Black Coal,20.0,4,76.93
2025-04-01 04:05:00,CALL_B_1,QLD1,Black Coal,20.0,10,16079.0
2025-04-01 04:05:00,CG1,NSW1,OCGT,181.0,10,17198.99
2025-04-01 04:05:00,CG3,NSW1,OCGT,181.0,10,17198.96
2025-04-01 04:05:00,CLARESF1,QLD1,Solar,2.0,1,-911.6
2025-04-01 04:05:00,CLARESF1,QLD1,Solar,98.0,6,-20.97
2025-04-01 04:05:00,CRWASF1,NSW1,Solar,30.0,1,-898.8
2025-04-01 04:05:00,CSPVPS1,QLD1,Solar,40.0,1,-934.66
2025-04-01 04:05:00,DAYDSF1,QLD1,Solar,150.0,1,-930.6
2025-04-01 04:05:00,DDSF1,QLD1,Solar,108.0,3,-92.55
2025-04-01 04:05:00,DRYCGT1,SA1,OCGT,57.0,10,17496.5
2025-04-01 04:05:00,ER03,NSW1,Black Coal,422.0,1,-985.5
2025-04-01 04:05:00,ER03,NSW1,Black Coal,38.0,6,75.69
2025-04-01 04:05:00,ER03,NSW1,Black Coal,290.0,10,17226.54
2025-04-01 04:05:00,GIRGSF,VIC1,Solar,76.0,8,-23.52
2025-04-01 04:05:00,GLENSF1,VIC1,Solar,51.0,4,-72.2
2025-04-01 04:05:00,GSTONE1,QLD1,Black Coal,170.0,1,-940.3
2025-04-01 04:05:00,GSTONE1,QLD1,Black Coal,110.0,10,16455.25
2025-04-01 04:05:00,GSTONE2,QLD1,Black Coal,150.0,1,-940.3
2025-04-01 04:05:00,GSTONE2,QLD1,Black Coal,20.0,3,85.41
2025-04-01 04:05:00,GSTONE2,QLD1,Black Coal,110.0,10,16455.25
2025-04-01 04:05:00,GSTONE3,QLD1,Black Coal,150.0,1,-941.0
2025-04-01 04:05:00,GSTONE3,QLD1,Black Coal,20.0,3,85.47
2025-04-01 04:05:00,GSTONE3,QLD1,Black Coal,110.0,10,16467.5
2025-04-01 04:05:00,GSTONE6,QLD1,Black Coal,150.0,1,-940.3
2025-04-01 04:05:00,GSTONE6,QLD1,Black Coal,20.0,3,85.41
2025-04-01 04:05:00,GSTONE6,QLD1,Black Coal,110.0,10,16455.25
2025-04-01 04:05:00,HAMISF1,QLD1,Solar,56.0,1,-930.5
2025-04-01 04:05:00,HAUGHT11,QLD1,Solar,100.0,1,-933.2
2025-04-01 04:05:00,JEMALNG1,NSW1,Solar,50.0,1,-858.53
2025-04-01 04:05:00,JLA02,VIC1,OCGT,65.0,10,17130.75
2025-04-01 04:05:00,JLA03,VIC1,OCGT,65.0,10,17130.75
2025-04-01 04:05:00,JUNEESF1,NSW1,Solar,30.0,1,-856.91
2025-04-01 04:05:00,KARSF1,VIC1,Solar,90.0,2,-47.98
2025-04-01 04:05:00,KERNGSP1,VIC1,Solar,30.0,10,15672.89
